inventory_code;inventory_pool;serial_number;model_name;Kat1;Kat2;Kat3
AVZ16068;AV-Ausleihe;28413;DV-Kamera Sony VX 1000 E;Videokameras SD Prosumer
AVZ11855;AV-Ausleihe;1211658;DVCam-Kamera Sony 170P;Videokameras SD Prosumer
AVZ11856;AV-Ausleihe;1212539;DVCam-Kamera Sony 170P;Videokameras SD Prosumer
AVZ12548;AV-Ausleihe;1230978;DVCam-Kamera Sony 170P;Videokameras SD Prosumer
AVZ12549;AV-Ausleihe;1231544;DVCam-Kamera Sony 170P;Videokameras SD Prosumer
AVZ16578;AV-Ausleihe;1147139;DVD-Handycam Sony DCR-DVD110E;Videokameras SD Consumer
AVZ13476;AV-Ausleihe;VT 1LA006308;DVD-Player Panasonic DVD-RV31;DVD Player / Recorder
AVZ13477;AV-Ausleihe;VT1LA006326;DVD-Player Panasonic DVD-RV31;DVD Player / Recorder
AVZ13478;AV-Ausleihe;VT1LA006318;DVD-Player Panasonic DVD-RV31;DVD Player / Recorder
AVZ13479;AV-Ausleihe;KT1DA001398;DVD-Player Panasonic DVD-RV31;DVD Player / Recorder
AVZ13801;AV-Ausleihe;KT1DA001221;DVD-Player Panasonic DVD-RV31;DVD Player / Recorder
AVZ15965;AV-Ausleihe;VV3AC005221;DVD-Player Panasonic DVD-RV32;DVD Player / Recorder
AVZ15966;AV-Ausleihe;VV3AC004719;DVD-Player Panasonic DVD-RV32;DVD Player / Recorder
AVZ15419;AV-Ausleihe;VC7D001683;DVD-Player Panasonic DVD-S42;DVD Player / Recorder
AVZ15420;AV-Ausleihe;VC7D001638;DVD-Player Panasonic DVD-S42;DVD Player / Recorder
AVZ15421;AV-Ausleihe;VC7D001640;DVD-Player Panasonic DVD-S42;DVD Player / Recorder
AVZ15423;AV-Ausleihe;VC7D001625;DVD-Player Panasonic DVD-S42;DVD Player / Recorder
AVZ15425;AV-Ausleihe;VC7D001706;DVD-Player Panasonic DVD-S42;DVD Player / Recorder
AVZ15426;AV-Ausleihe;VC7D001686;DVD-Player Panasonic DVD-S42;DVD Player / Recorder
AVZ15427;AV-Ausleihe;VC7D001689;DVD-Player Panasonic DVD-S42;DVD Player / Recorder
AVZ15428;AV-Ausleihe;VC7D001622;DVD-Player Panasonic DVD-S42;DVD Player / Recorder
AVZ15429;AV-Ausleihe;VC7D001624;DVD-Player Panasonic DVD-S42;DVD Player / Recorder
AVZ15430;AV-Ausleihe;VC7D001687;DVD-Player Panasonic DVD-S42;DVD Player / Recorder
AVZ15431;AV-Ausleihe;VC7D001627;DVD-Player Panasonic DVD-S42;DVD Player / Recorder
AVZ15432;AV-Ausleihe;VC7D001631;DVD-Player Panasonic DVD-S42;DVD Player / Recorder
AVZ15433;AV-Ausleihe;VC7D001637;DVD-Player Panasonic DVD-S42;DVD Player / Recorder
AVZ15434;AV-Ausleihe;VC7D002199;DVD-Player Panasonic DVD-S42;DVD Player / Recorder
AVZ15435;AV-Ausleihe;VC7D001639;DVD-Player Panasonic DVD-S42;DVD Player / Recorder
AVZ15437;AV-Ausleihe;VC7D001621;DVD-Player Panasonic DVD-S42;DVD Player / Recorder
AVZ15438;AV-Ausleihe;VC7D001690;DVD-Player Panasonic DVD-S42;DVD Player / Recorder
AVZ16686;AV-Ausleihe;VC7KD001233;DVD-Player Panasonic DVD-S42;DVD Player / Recorder
AVZ16687;AV-Ausleihe;VC7KD001207;DVD-Player Panasonic DVD-S42;DVD Player / Recorder
AVZ16688;AV-Ausleihe;VC7KD001244;DVD-Player Panasonic DVD-S42;DVD Player / Recorder
AVZ16689;AV-Ausleihe;VC7KD001211;DVD-Player Panasonic DVD-S42;DVD Player / Recorder
AVZ16690;AV-Ausleihe;VC7KD001209;DVD-Player Panasonic DVD-S42;DVD Player / Recorder
AVZ16691;AV-Ausleihe;VC7KD001213;DVD-Player Panasonic DVD-S42;DVD Player / Recorder
AVZ16692;AV-Ausleihe;VC7KD001241;DVD-Player Panasonic DVD-S42;DVD Player / Recorder
AVZ11651;AV-Ausleihe;VC4HD001706;DVD-Player Panasonic DVD-S47;DVD Player / Recorder
AVZ11652;AV-Ausleihe;VC4GD001126;DVD-Player Panasonic DVD-S47;DVD Player / Recorder
AVZ11653;AV-Ausleihe;VC4GD001739;DVD-Player Panasonic DVD-S47;DVD Player / Recorder
AVZ11657;AV-Ausleihe;VC4HD001266;DVD-Player Panasonic DVD-S47;DVD Player / Recorder
AVZ11660;AV-Ausleihe;VC4FD006866;DVD-Player Panasonic DVD-S47;DVD Player / Recorder
AVZ12081;AV-Ausleihe;VC4ID003162;DVD-Player Panasonic DVD-S47;DVD Player / Recorder
AVZ12082;AV-Ausleihe;VC4ID002572;DVD-Player Panasonic DVD-S47;DVD Player / Recorder
AVZ12087;AV-Ausleihe;VC4ID003157;DVD-Player Panasonic DVD-S47;DVD Player / Recorder
AVZ12090;AV-Ausleihe;VC4ID003164;DVD-Player Panasonic DVD-S47;DVD Player / Recorder
AVZ12262;AV-Ausleihe;VC4LE001073;DVD-Player Panasonic DVD-S47;DVD Player / Recorder
AVZ12264;AV-Ausleihe;VC4LE001289;DVD-Player Panasonic DVD-S47;DVD Player / Recorder
AVZ12268;AV-Ausleihe;VC4LE001266;DVD-Player Panasonic DVD-S47;DVD Player / Recorder
AVZ12275;AV-Ausleihe;VC4LE001256;DVD-Player Panasonic DVD-S47;DVD Player / Recorder
AVZ12276;AV-Ausleihe;VC4LE001033;DVD-Player Panasonic DVD-S47;DVD Player / Recorder
AVZ12280;AV-Ausleihe;VC4LE001071;DVD-Player Panasonic DVD-S47;DVD Player / Recorder
AVZ12281;AV-Ausleihe;VC4LE001257;DVD-Player Panasonic DVD-S47;DVD Player / Recorder
AVZ12282;AV-Ausleihe;VC4LE001037;DVD-Player Panasonic DVD-S47;DVD Player / Recorder
AVZ15660;AV-Ausleihe;VC4ED014977;DVD-Player Panasonic DVD-S47;DVD Player / Recorder
AVZ15672;AV-Ausleihe;VC4DD015099;DVD-Player Panasonic DVD-S47;DVD Player / Recorder
AVZ10760;AV-Ausleihe;VC3EA006015;DVD-Player Panasonic DVD-S75;DVD Player / Recorder
AVZ10761;AV-Ausleihe;VC3EA006012;DVD-Player Panasonic DVD-S75;DVD Player / Recorder
AVZ10762;AV-Ausleihe;VC3EA006117;DVD-Player Panasonic DVD-S75;DVD Player / Recorder
AVZ10764;AV-Ausleihe;VC3EA006120;DVD-Player Panasonic DVD-S75;DVD Player / Recorder
AVZ10765;AV-Ausleihe;VC3EA006218;DVD-Player Panasonic DVD-S75;DVD Player / Recorder
AVZ10766;AV-Ausleihe;VC3EA006016;DVD-Player Panasonic DVD-S75;DVD Player / Recorder
AVZ10767;AV-Ausleihe;VC3EA006221;DVD-Player Panasonic DVD-S75;DVD Player / Recorder
AVZ10768;AV-Ausleihe;VC3EA006028;DVD-Player Panasonic DVD-S75;DVD Player / Recorder
AVZ10769;AV-Ausleihe;VC3EA005375;DVD-Player Panasonic DVD-S75;DVD Player / Recorder
AVZ11266;AV-Ausleihe;VC4AB002450;DVD-Player Panasonic DVD-S75;DVD Player / Recorder
AVZ11267;AV-Ausleihe;VC4AB002246;DVD-Player Panasonic DVD-S75;DVD Player / Recorder
AVZ11269;AV-Ausleihe;VC4AB002230;DVD-Player Panasonic DVD-S75;DVD Player / Recorder
AVZ11270;AV-Ausleihe;VC4AB002220;DVD-Player Panasonic DVD-S75;DVD Player / Recorder
AVZ11271;AV-Ausleihe;VC4AB002218;DVD-Player Panasonic DVD-S75;DVD Player / Recorder
AVZ11272;AV-Ausleihe;VC4AB002447;DVD-Player Panasonic DVD-S75;DVD Player / Recorder
AVZ13404;AV-Ausleihe;FDKF0254471YY;DVD-Player Pioneer DV-393-s;DVD Player / Recorder
AVZ13405;AV-Ausleihe;FDKF025954YY;DVD-Player Pioneer DV-393-s;DVD Player / Recorder
AVZ13406;AV-Ausleihe;FDKD031047YY;DVD-Player Pioneer DV-393-s;DVD Player / Recorder
AVZ13407;AV-Ausleihe;FDKD029977Y;DVD-Player Pioneer DV-393-s;DVD Player / Recorder
AVZ13409;AV-Ausleihe;FDKD031015YY;DVD-Player Pioneer DV-393-s;DVD Player / Recorder
AVZ13410;AV-Ausleihe;FDKD031062YY;DVD-Player Pioneer DV-393-s;DVD Player / Recorder;
AVZ13411;AV-Ausleihe;FDKF025996YY;DVD-Player Pioneer DV-393-s;DVD Player / Recorder;
AVZ13412;AV-Ausleihe;FDKD027650YY;DVD-Player Pioneer DV-393-s;DVD Player / Recorder;
AVZ13413;AV-Ausleihe;FDKD031059YY;DVD-Player Pioneer DV-393-s;DVD Player / Recorder;
AVZ13414;AV-Ausleihe;FDKF025458YY;DVD-Player Pioneer DV-393-s;DVD Player / Recorder;
AVZ13415;AV-Ausleihe;FDKF025450YY;DVD-Player Pioneer DV-393-s;DVD Player / Recorder;
AVZ13416;AV-Ausleihe;FDKD029531YY;DVD-Player Pioneer DV-393-s;DVD Player / Recorder;
AVZ13417;AV-Ausleihe;FDKD028006YY;DVD-Player Pioneer DV-393-s;DVD Player / Recorder;
AVZ13418;AV-Ausleihe;FDKD029950YY;DVD-Player Pioneer DV-393-s;DVD Player / Recorder;
AVZ13419;AV-Ausleihe;FDKF025970YY;DVD-Player Pioneer DV-393-s;DVD Player / Recorder;
AVZ13421;AV-Ausleihe;FDKF025985YY;DVD-Player Pioneer DV-393-s;DVD Player / Recorder;
AVZ13422;AV-Ausleihe;FDKF025981YY;DVD-Player Pioneer DV-393-s;DVD Player / Recorder;
AVZ13423;AV-Ausleihe;FDKF020735YY;DVD-Player Pioneer DV-393-s;DVD Player / Recorder;
AVZ17120;AV-Ausleihe;A1780379AA20030;DVI Splitter 1 to 4 ATEN VS-164;Splitter;Video Interface
AVZ17121;AV-Ausleihe;O5620009AAV0041;DVI Splitter 1 to 4 ATEN VS-164;Splitter;Video Interface
AVZ12439;AV-Ausleihe;--;Einbeinstativ Cullmann;Stative Photo;
AVZ14616;AV-Ausleihe;601360;Episkop Eiki OP 1500;Episkope
AVZ14658;AV-Ausleihe;4212212;Episkop PLUS DP-10;Episkope
AVZ15820;AV-Ausleihe;6949;Equalizer DBX 215 Dual 15-Band;Audio Effekte & Delay
AVZ12436;AV-Ausleihe;--;Fahrspinne Cullman CT200 Dolly;Rollspinnen
AVZ12438;AV-Ausleihe;--;Fahrspinne Sachtler System 10;Rollspinnen
AVZ12437;AV-Ausleihe;--;Fahrspinne Velbon DL-7;Rollspinnen
AVZ25058;AV-Ausleihe;keine;Fahrspinne Vinten PD 114 ;Rollspinnen
AVZ25059;AV-Ausleihe;keine;Fahrspinne Vinten PD 114 ;Rollspinnen
AVZ25060;AV-Ausleihe;keine;Fahrspinne Vinten PD 114 ;Rollspinnen
AVZ25061;AV-Ausleihe;keine;Fahrspinne Vinten PD 114 ;Rollspinnen
AVZ12441;AV-Ausleihe;--;Filmleuchte Nigg Color-Variant 575;Leuchten Tageslicht
AVZ12442;AV-Ausleihe;--;Filmleuchte Nigg Color-Variant 575;Leuchten Tageslicht
AVZ14442;AV-Ausleihe;10279;Filmprojektor 16mm Eiki SL-AR2;Filmprojektor
AVZ14441;AV-Ausleihe;823-0517;Filmprojektor 16mm P7 universal;Filmprojektor
AVZ14440;AV-Ausleihe;249-6068;Filmprojektor Super8 Bauer T510;Filmprojektor
AVZ14439;AV-Ausleihe;730-1907;Filmprojektor Super8 Bauer T600;Filmprojektor
AVZ14438;AV-Ausleihe;2211;Filmprojektor Super8 Bauer Visalux;Filmprojektor
AVZ15243;AV-Ausleihe;2444422;Fotoblitz Nikon SB-600;Blitz / - Anlagen
AVZ15244;AV-Ausleihe;2444421;Fotoblitz Nikon SB-600;Blitz / - Anlagen
AVZ20714;AV-Ausleihe;2824379;Fotoblitz Nikon SB-600;Blitz / - Anlagen
AVZ13428;AV-Ausleihe;1;Funk-Mic.Strecke Shure U4D;Mikrophone Drahtlos
AVZ15810;AV-Ausleihe;606030710;Funk-Mic.Strecke Shure U4D;Mikrophone Drahtlos
AVZ15811;AV-Ausleihe;606030699;Funk-Mic.Strecke Shure U4D;Mikrophone Drahtlos
AVZ15812;AV-Ausleihe;606030712;Funk-Mic.Strecke Shure U4D;Mikrophone Drahtlos
AVZ16099;AV-Ausleihe;keine;Halter zu Reflektor Photoflex Lite Disk;Licht Zubehör
AVZ16100;AV-Ausleihe;keine;Halter zu Reflektor Photoflex Lite Disk;Licht Zubehör
AVZ12371;AV-Ausleihe;--;Handleuchte Lowel Omni-light;Leuchten Kunstlicht
AVZ12372;AV-Ausleihe;--;Handleuchte Supralux SF 1000 TV;Leuchten Kunstlicht
AVZ12373;AV-Ausleihe;--;Handleuchte Supralux SF 1000 TV;Leuchten Kunstlicht
AVZ12130;AV-Ausleihe;451405369;HD LaCie d2 Drive 250 GB;Externe Massenspeicher
AVZ12134;AV-Ausleihe;451504897;HD LaCie d2 Drive 250 GB;Externe Massenspeicher
AVZ15157;AV-Ausleihe;571500817;HD LaCie d2 Hard Drive Extreme 500 GB;Externe Massenspeicher
AVZ15158;AV-Ausleihe;571500839;HD LaCie d2 Hard Drive Extreme 500 GB;Externe Massenspeicher
AVZ15161;AV-Ausleihe;571500858;HD LaCie d2 Hard Drive Extreme 500 GB;Externe Massenspeicher
AVZ15164;AV-Ausleihe;580801239;HD LaCie d2 Hard Drive Extreme 500 GB;Externe Massenspeicher
AVZ15165;AV-Ausleihe;571500873;HD LaCie d2 Hard Drive Extreme 500 GB;Externe Massenspeicher
AVZ15168;AV-Ausleihe;581501719;HD LaCie d2 Hard Drive Extreme 500 GB;Externe Massenspeicher
AVZ16102;AV-Ausleihe;580701907;HD LaCie d2 Hard Drive Quadra 500 GB;Externe Massenspeicher
AVZ16103;AV-Ausleihe;574302892;HD LaCie d2 Hard Drive Quadra 500 GB;Externe Massenspeicher
AVZ12368;AV-Ausleihe;J022-01541;HD Sarotech 120GB;Externe Massenspeicher
AVZ12370;AV-Ausleihe;J022-01530;HD Sarotech 120GB;Externe Massenspeicher
AVZ12413;AV-Ausleihe;J022-01528;HD Sarotech 120GB;Externe Massenspeicher
AVZ12423;AV-Ausleihe;IBM A6C7BB1A;HD Sarotech 120GB;Externe Massenspeicher
AVZ20891;AV-Ausleihe;keine;HD SDI-Kabel auf Rolle 70m;Kabel Video
AVZ20892;AV-Ausleihe;keine;HD SDI-Kabel auf Rolle 70m;Kabel Video
AVZ20893;AV-Ausleihe;keine;HD SDI-Kabel auf Rolle 70m;Kabel Video
AVZ25024;AV-Ausleihe;LB0901600166;HD-Kamera PureDigital MinoHD  Flip;Minikameras portabel
AVZ15607;AV-Ausleihe;1.7977E+308;HD-LCD-Monitor JVC DT-V24L1D;Monitor LCD Studio
AVZ15418;AV-Ausleihe;C7TWB3609R;HD-LCD-Monitor Panasonic BT-LH1700WE;Monitor LCD Studio
AVZ15593;AV-Ausleihe;1.7977E+308;HD-Monitor JVC DT-V1710CG;Monitor Röhre Studio
AVZ15605;AV-Ausleihe;1.7977E+308;HD-Monitor JVC DT-V1710CG;Monitor Röhre Studio
AVZ15295;AV-Ausleihe;1220249;HD/DVCam-Kamera Sony HVR-A1E;Videokameras HD Bandaufnahme Prosumer
AVZ15296;AV-Ausleihe;1220250;HD/DVCam-Kamera Sony HVR-A1E;Videokameras HD Bandaufnahme Prosumer
AVZ13399;AV-Ausleihe;1074667;HD/MiniDV Handycam Sony HDR-HC3E;Videokameras HD Bandaufnahme Consumer
AVZ13400;AV-Ausleihe;1074666;HD/MiniDV Handycam Sony HDR-HC3E;Videokameras HD Bandaufnahme Consumer
AVZ13401;AV-Ausleihe;1074700;HD/MiniDV Handycam Sony HDR-HC3E;Videokameras HD Bandaufnahme Consumer
AVZ15345;AV-Ausleihe;1074570;HD/MiniDV Handycam Sony HDR-HC7;Videokameras HD Bandaufnahme Consumer
AVZ15347;AV-Ausleihe;1074538;HD/MiniDV Handycam Sony HDR-HC7;Videokameras HD Bandaufnahme Consumer
AVZ15353;AV-Ausleihe;1074555;HD/MiniDV Handycam Sony HDR-HC7;Videokameras HD Bandaufnahme Consumer
AVZ15354;AV-Ausleihe;1074755;HD/MiniDV Handycam Sony HDR-HC7;Videokameras HD Bandaufnahme Consumer
AVZ15355;AV-Ausleihe;1074791;HD/MiniDV Handycam Sony HDR-HC7;Videokameras HD Bandaufnahme Consumer
AVZ15356;AV-Ausleihe;1074569;HD/MiniDV Handycam Sony HDR-HC7;Videokameras HD Bandaufnahme Consumer
AVZ15358;AV-Ausleihe;1074554;HD/MiniDV Handycam Sony HDR-HC7;Videokameras HD Bandaufnahme Consumer
AVZ15359;AV-Ausleihe;1074565;HD/MiniDV Handycam Sony HDR-HC7;Videokameras HD Bandaufnahme Consumer
AVZ15360;AV-Ausleihe;1074553;HD/MiniDV Handycam Sony HDR-HC7;Videokameras HD Bandaufnahme Consumer
AVZ15361;AV-Ausleihe;1074571;HD/MiniDV Handycam Sony HDR-HC7;Videokameras HD Bandaufnahme Consumer
AVZ15374;AV-Ausleihe;1074754;HD/MiniDV Handycam Sony HDR-HC7;Videokameras HD Bandaufnahme Consumer
AVZ15521;AV-Ausleihe;1078175;HD/MiniDV Handycam Sony HDR-HC7;Videokameras HD Bandaufnahme Consumer
AVZ15522;AV-Ausleihe;1078144;HD/MiniDV Handycam Sony HDR-HC7;Videokameras HD Bandaufnahme Consumer
AVZ16509;AV-Ausleihe;1084801;HD/MiniDV Handycam Sony HDR-HC7;Videokameras HD Bandaufnahme Consumer
AVZ16779;AV-Ausleihe;S0101332094;HD/MiniDV Handycam Sony HDR-HC9;Videokameras HD Bandaufnahme Consumer
AVZ16780;AV-Ausleihe;S0101356236;HD/MiniDV Handycam Sony HDR-HC9;Videokameras HD Bandaufnahme Consumer
AVZ16781;AV-Ausleihe;S0101356089;HD/MiniDV Handycam Sony HDR-HC9;Videokameras HD Bandaufnahme Consumer
AVZ16782;AV-Ausleihe;S0101356179;HD/MiniDV Handycam Sony HDR-HC9;Videokameras HD Bandaufnahme Consumer
AVZ16783;AV-Ausleihe;S010135599I;HD/MiniDV Handycam Sony HDR-HC9;Videokameras HD Bandaufnahme Consumer
AVZ16784;AV-Ausleihe;S010135639D;HD/MiniDV Handycam Sony HDR-HC9;Videokameras HD Bandaufnahme Consumer
AVZ16785;AV-Ausleihe;S0101356326;HD/MiniDV Handycam Sony HDR-HC9;Videokameras HD Bandaufnahme Consumer
AVZ16786;AV-Ausleihe;S010134888I;HD/MiniDV Handycam Sony HDR-HC9;Videokameras HD Bandaufnahme Consumer
AVZ20472;AV-Ausleihe;S0101356337;HD/MiniDV Handycam Sony HDR-HC9;Videokameras HD Bandaufnahme Consumer
AVZ15884;AV-Ausleihe;62034;HDCAM Sony HDW-750PC;Videokameras HD Bandaufnahme Professional
AVZ13390;AV-Ausleihe;1210142;HDV-DV-Recorder Sony HVR-M25E;HDV Player / Recorder;;
AVZ15602;AV-Ausleihe;1213369;HDV-DV-Recorder Sony HVR-M25E;HDV Player / Recorder;;
AVZ15603;AV-Ausleihe;1213380;HDV-DV-Recorder Sony HVR-M25E;HDV Player / Recorder;;
AVZ15604;AV-Ausleihe;1213383;HDV-DV-Recorder Sony HVR-M25E;HDV Player / Recorder;;
AVZ20573;AV-Ausleihe;1211717;HDV-DV-Recorder Sony HVR-M25E;HDV Player / Recorder;;
AVZ20890;AV-Ausleihe;P3001507;HDV-Kamera Sanyo HD2000;Minikameras portabel;;
AVZ14615;AV-Ausleihe;0643 31171;Hellraumprojektor Liesegang 643;Hellraumprojektoren;;
AVZ14614;AV-Ausleihe;0630 21625;Hellraumprojektor Liesegang Trainer 630;Hellraumprojektoren;;
AVZ14613;AV-Ausleihe;0640 50865;Hellraumprojektor Liesegang Trainer 640;Hellraumprojektoren;;
AVZ17118;AV-Ausleihe;---;Instrumentenmikrophon Sennheiser e 608;Instrumentenmikrophone;;
AVZ17119;AV-Ausleihe;---;Instrumentenmikrophon Sennheiser e 608;Instrumentenmikrophone;;
AVZ25002;AV-Ausleihe;A1957477;Kamerahalter Manfrotto 595B Fig Rig Video Camera Stabilizer;Kompendium / Follow Focus / Remote Video;Traghilfen / Schutzhüllen Video;Stative andere
AVZ25063;AV-Ausleihe;C0985846;Kamerastativ Vinten Pro-6HDVF;Stative Video;;
AVZ25064;AV-Ausleihe;C0983284;Kamerastativ Vinten Pro-6HDVF;Stative Video;;
AVZ25065;AV-Ausleihe;C0985822;Kamerastativ Vinten Pro-6HDVF;Stative Video;;
AVZ25066;AV-Ausleihe;C0985654;Kamerastativ Vinten Pro-6HDVF;Stative Video;;
AVZ12440;AV-Ausleihe;--;Kleinstativ Pentacon;Stative Photo
AVZ15886;AV-Ausleihe;410-14;Kompendium Chrosziel 4 x 5.65 zu HDCAM Sony HDW-750PC;Kompendium / Follow Focus / Remote Video
AVZ15742;AV-Ausleihe;keine;Kopfhörer AKG K26P;Kopfhörer broadcast
AVZ15743;AV-Ausleihe;keine;Kopfhörer AKG K26P;Kopfhörer broadcast
AVZ15744;AV-Ausleihe;keine;Kopfhörer AKG K26P;Kopfhörer broadcast
AVZ15745;AV-Ausleihe;keine;Kopfhörer AKG K26P;Kopfhörer broadcast
AVZ15746;AV-Ausleihe;keine;Kopfhörer AKG K26P;Kopfhörer broadcast
AVZ15747;AV-Ausleihe;keine;Kopfhörer Sony MDR-7506;Kopfhörer broadcast
AVZ15748;AV-Ausleihe;keine;Kopfhörer Sony MDR-7506;Kopfhörer broadcast
AVZ15749;AV-Ausleihe;keine;Kopfhörer Sony MDR-7506;Kopfhörer broadcast
AVZ15750;AV-Ausleihe;keine;Kopfhörer Sony MDR-7506;Kopfhörer broadcast
AVZ15751;AV-Ausleihe;keine;Kopfhörer Sony MDR-7506;Kopfhörer broadcast
AVZ15859;AV-Ausleihe;12.02.04;Kopfhörerverstärker SpeaKa S1235;Kopfhörerverstärker
AVZ15860;AV-Ausleihe;12.02.04;Kopfhörerverstärker SpeaKa S1235;Kopfhörerverstärker
AVZ15876;AV-Ausleihe;12.02.04;Kopfhörerverstärker SpeaKa S1235;Kopfhörerverstärker
AVZ15877;AV-Ausleihe;12.02.04;Kopfhörerverstärker SpeaKa S1235;Kopfhörerverstärker
AVZ15878;AV-Ausleihe;12.02.04;Kopfhörerverstärker SpeaKa S1235;Kopfhörerverstärker
AVZ16110;AV-Ausleihe;12.02.04;Kopfhörerverstärker SpeaKa S1235;Kopfhörerverstärker
AVZ15459;AV-Ausleihe;U-07/00/081-0;Kopfhörerverstärker Stageline HPR-6;Kopfhörerverstärker
AVZ15460;AV-Ausleihe;U-07/00/084-0;Kopfhörerverstärker Stageline HPR-6;Kopfhörerverstärker
AVZ15461;AV-Ausleihe;U-07/00/089-0;Kopfhörerverstärker Stageline HPR-6;Kopfhörerverstärker
AVZ15462;AV-Ausleihe;U-07/00/090-0;Kopfhörerverstärker Stageline HPR-6;Kopfhörerverstärker
AVZ15463;AV-Ausleihe;U-07/00/119-0;Kopfhörerverstärker Stageline HPR-6;Kopfhörerverstärker
AVZ15591;AV-Ausleihe;keine;Kopfhörerverstärker Stageline HPR-6;Kopfhörerverstärker
AVZ15592;AV-Ausleihe;keine;Kopfhörerverstärker Stageline HPR-6;Kopfhörerverstärker
AVZ16717;AV-Ausleihe;unlesabr;Kopfhörerverstärker Stageline HPR-6;Kopfhörerverstärker
AVZ11578;AV-Ausleihe;Rob/00/04/04/;Kopfhörerverstärker Stageline PPA 100;Kopfhörerverstärker
AVZ13480;AV-Ausleihe;R09/00/078-01;Kopfhörerverstärker Stageline PPA 100;Kopfhörerverstärker
AVZ13481;AV-Ausleihe;R07/00/040-01;Kopfhörerverstärker Stageline PPA 100;Kopfhörerverstärker
AVZ13482;AV-Ausleihe;R09/00/030-01;Kopfhörerverstärker Stageline PPA 100;Kopfhörerverstärker
AVZ20828;AV-Ausleihe;P11/00/073-01;Kopfhörerverstärker Stageline PPA 100;Kopfhörerverstärker
AVZ15858;AV-Ausleihe;1288;Kopfhörerverstärker Stageline PPA-4;Kopfhörerverstärker
AVZ16016;AV-Ausleihe;1293;Kopfhörerverstärker Stageline PPA-4;Kopfhörerverstärker
AVZ16442;AV-Ausleihe;1312904090946QR;LaCie 320GB Rugged Mobile Harddisk/FireWire 400/800/USB2.0;Externe Massenspeicher
AVZ16428;AV-Ausleihe;1224802124621QR;LaCie 320GB Rugged Mobile Harddisk/FireWire 400/800/USB2.0;Externe Massenspeicher
AVZ16431;AV-Ausleihe;1224802124624624QR;LaCie 320GB Rugged Mobile Harddisk/FireWire 400/800/USB2.0;Externe Massenspeicher
AVZ13024;AV-Ausleihe;118456;Lautsprecher Canton GL300F;Lautsprecher passiv
AVZ13493;AV-Ausleihe;51066/51971;Lautsprecher Canton GL300F;Lautsprecher passiv
AVZ12180;AV-Ausleihe;634724;Lautsprecher Canton Plus D;Lautsprecher passiv
AVZ13012;AV-Ausleihe;06 101937;Lautsprecher Canton Plus D;Lautsprecher passiv
AVZ11696;AV-Ausleihe;10089300;Lautsprecher Elias Satellite;Lautsprecher passiv
AVZ11697;AV-Ausleihe;10089300;Lautsprecher Elias Satellite;Lautsprecher passiv
AVZ11698;AV-Ausleihe;10119481;Lautsprecher Elias Satellite;Lautsprecher passiv
AVZ11699;AV-Ausleihe;10119482;Lautsprecher Elias Satellite;Lautsprecher passiv
AVZ13014;AV-Ausleihe;207102667;Lautsprecher Mission M71;Lautsprecher passiv
AVZ13492;AV-Ausleihe;207102675;Lautsprecher Mission M71;Lautsprecher passiv
AVZ13764;AV-Ausleihe;XF940146 / J940134;Lautsprecheranlage Anchor Liberty MPB-4500;Lautsprecheranlagen einfach
AVZ12985;AV-Ausleihe;968200/968199;Lautsprecherpaar Dinaudio MSP400;Lautsprecher passiv
AVZ15887;AV-Ausleihe;F6TWA0064;LCD Monitor Panasonic BT-LH900AE;Monitor LCD Ausstellung;
AVZ15655;AV-Ausleihe;1300060;LCD Monitor Sony LMD-9050 ENG-Kit;Referenzmonitore;Monitor portabel
AVZ15656;AV-Ausleihe;1300065;LCD Monitor Sony LMD-9050 ENG-Kit;Referenzmonitore;Monitor portabel
AVZ15657;AV-Ausleihe;1300066;LCD Monitor Sony LMD-9050 ENG-Kit;Referenzmonitore;Monitor portabel
AVZ14436;AV-Ausleihe;129145;LCD Monitor Sony XV-M30E;Monitor portabel;Monitor LCD Ausstellung
AVZ14437;AV-Ausleihe;129141;LCD Monitor Sony XV-M30E;Monitor portabel;Monitor LCD Ausstellung
AVZ20672;AV-Ausleihe;87100601YB;LCD-Monitor NEC Multeos M46 AV silber Full-HD;Monitor LCD Ausstellung;
AVZ20673;AV-Ausleihe;87100603YB;LCD-Monitor NEC Multeos M46 AV silber Full-HD;Monitor LCD Ausstellung;
AVZ12338;AV-Ausleihe;52000302YB;LCD-Monitor NEC MultiSync LCD4010;Monitor LCD Ausstellung;
AVZ12339;AV-Ausleihe;53000564YB;LCD-Monitor NEC MultiSync LCD4010;Monitor LCD Ausstellung;
AVZ13378;AV-Ausleihe;S59101400JB;LCD-Monitor NEC MultiSync LCD4010;Monitor LCD Ausstellung;
AVZ16793;AV-Ausleihe;4319423;LCD-Monitor Sony KDL-40X3500 Full-HD;Monitor LCD Ausstellung;
AVZ16794;AV-Ausleihe;4319424;LCD-Monitor Sony KDL-40X3500 Full-HD;Monitor LCD Ausstellung;
AVZ16514;AV-Ausleihe;9201377;LCD-TV Sony KDL-26P3000E.F 26 Zoll HD-Ready Silber;Monitor LCD Ausstellung;
AVZ16515;AV-Ausleihe;9501373;LCD-TV Sony KDL-26P3000E.F 26 Zoll HD-Ready Silber;Monitor LCD Ausstellung;
AVZ16516;AV-Ausleihe;9501374;LCD-TV Sony KDL-26P3000E.F 26 Zoll HD-Ready Silber;Monitor LCD Ausstellung;
