inventory_code;inventory_pool;serial_number;model_name;Kat1;Kat2;Kat3
AVZ16585;AV-Ausleihe;EYJ5501001731005EC5910;Beamer Acer P5270;beamer
AVZ16586;AV-Ausleihe;EYJ55010018090052E5910;Beamer Acer P5270;beamer
AVZ20423;AV-Ausleihe;EYJ5501001828015B15911;Beamer Acer P5270;beamer
AVZ15377;AV-Ausleihe;7.06004E+11;Beamer Acer PD527W;beamer
AVZ15378;AV-Ausleihe;7.06004E+11;Beamer Acer PD527W;beamer
AVZ15380;AV-Ausleihe;706004D25910;Beamer Acer PD527W;beamer
AVZ15382;AV-Ausleihe;706004AE5910;Beamer Acer PD527W;beamer
AVZ15383;AV-Ausleihe;706004D15910;Beamer Acer PD527W;beamer
AVZ15384;AV-Ausleihe;706004FE5910;Beamer Acer PD527W;beamer
AVZ15386;AV-Ausleihe;7.06005E+11;Beamer Acer PD527W;beamer
AVZ15390;AV-Ausleihe;706004AF5910;Beamer Acer PD527W;beamer
AVZ15391;AV-Ausleihe;706004C75910;Beamer Acer PD527W;beamer
AVZ15393;AV-Ausleihe;1.7977E+308;Beamer Acer PD527W;beamer
AVZ15394;AV-Ausleihe;7.06005E+11;Beamer Acer PD527W;beamer
AVZ15395;AV-Ausleihe;7.06005E+11;Beamer Acer PD527W;beamer
AVZ15396;AV-Ausleihe;1.7977E+308;Beamer Acer PD527W;beamer
AVZ15399;AV-Ausleihe;7.02009E+11;Beamer Acer PD527W;beamer
AVZ15400;AV-Ausleihe;7.02009E+11;Beamer Acer PD527W;beamer
AVZ15401;AV-Ausleihe;706004BF5910;Beamer Acer PD527W;beamer
AVZ15402;AV-Ausleihe;1.7977E+308;Beamer Acer PD527W;beamer
AVZ15403;AV-Ausleihe;7.02009E+11;Beamer Acer PD527W;beamer
AVZ15416;AV-Ausleihe;PDWC600221TV0;Beamer BenQ CP-220;beamer
AVZ11264;AV-Ausleihe;99J2277B3141900530H;Beamer BenQ PB2220;beamer
AVZ12309;AV-Ausleihe;99J9377B9150200052H;Beamer BenQ PB2240;beamer
AVZ12310;AV-Ausleihe;99J9377B9144600535H;Beamer BenQ PB2240;beamer
AVZ13403;AV-Ausleihe;*CP-X985W* *G1E000606*;Beamer Hitachi CP-X985W;beamer
AVZ10839;AV-Ausleihe;36A0021NK;Beamer NEC GT1150;beamer
AVZ12221;AV-Ausleihe;5340471fc;Beamer NEC LT 245;beamer
AVZ12222;AV-Ausleihe;5140109fb;Beamer NEC LT 245;beamer
AVZ12224;AV-Ausleihe;5340457fc;Beamer NEC LT 245;beamer
AVZ12225;AV-Ausleihe;5340503fc;Beamer NEC LT 245;beamer
AVZ12312;AV-Ausleihe;5940421EM;Beamer NEC LT 245;beamer
AVZ12313;AV-Ausleihe;5540270EG;Beamer NEC LT 245;beamer
AVZ12343;AV-Ausleihe;5340706FC;Beamer NEC LT 245;beamer
AVZ12508;AV-Ausleihe;5940706EM;Beamer NEC LT 245;beamer
AVZ12509;AV-Ausleihe;5940710EM;Beamer NEC LT 245;beamer
AVZ12936;AV-Ausleihe;5X 40952EM;Beamer NEC LT 245;beamer
AVZ13366;AV-Ausleihe;5X 41030EM;Beamer NEC LT 245;beamer
AVZ13367;AV-Ausleihe;5X 40948EM;Beamer NEC LT 245;beamer
AVZ13368;AV-Ausleihe;5X 41028EM;Beamer NEC LT 245;beamer
AVZ13369;AV-Ausleihe;5X 40949EM;Beamer NEC LT 245;beamer
AVZ13370;AV-Ausleihe;5X 40934EM;Beamer NEC LT 245;beamer
AVZ13371;AV-Ausleihe;5X 41029EM;Beamer NEC LT 245;beamer
AVZ13380;AV-Ausleihe;5X 41006EM;Beamer NEC LT 245;beamer
AVZ15306;AV-Ausleihe;SG6610136R;Beamer Panasonic PT-AE1000E;beamer
AVZ15307;AV-Ausleihe;SG6610191R;Beamer Panasonic PT-AE1000E;beamer
AVZ16812;AV-Ausleihe;SG8230085;Beamer Panasonic PT-AE2000E;beamer
AVZ20270;AV-Ausleihe;102311193;Beamer Sharp XG-V10XE;beamer
AVZ20271;AV-Ausleihe;107311344;Beamer Sharp XG-V10XE;beamer
AVZ20741;AV-Ausleihe;keine;Beamerhalterung  Manfrotto Kugelgelenk (Big) und Clamp ;beamerzubehör
AVZ16106;AV-Ausleihe;C0394930;Beamerhalterung  Manfrotto Kugelgelenk und Clamp;beamerzubehör
AVZ16107;AV-Ausleihe;C0394900;Beamerhalterung  Manfrotto Kugelgelenk und Clamp;beamerzubehör
AVZ16108;AV-Ausleihe;C0683057;Beamerhalterung  Manfrotto Kugelgelenk und Clamp;beamerzubehör
AVZ20735;AV-Ausleihe;keine;Beamerhalterung  Manfrotto Kugelgelenk und Clamp;beamerzubehör
AVZ20736;AV-Ausleihe;keine;Beamerhalterung  Manfrotto Kugelgelenk und Clamp;beamerzubehör
AVZ20737;AV-Ausleihe;keine;Beamerhalterung  Manfrotto Kugelgelenk und Clamp;beamerzubehör
AVZ20738;AV-Ausleihe;keine;Beamerhalterung  Manfrotto Kugelgelenk und Clamp;beamerzubehör
AVZ20739;AV-Ausleihe;keine;Beamerhalterung  Manfrotto Kugelgelenk und Clamp;beamerzubehör
AVZ20740;AV-Ausleihe;keine;Beamerhalterung  Manfrotto Kugelgelenk und Clamp;beamerzubehör
AVZ15848;AV-Ausleihe;keine;Beamerhalterung Manfrotto Kugelgelenk und Clamp mit Alugrundplatte;beamerzubehör
